SENTIDO,LATITUD,LONGITUD,anio,mes,dia,hr,greater_mean
Egreso,-34.588796,-58.38152,2021,5,1,9,False
Ingreso,-34.588796,-58.38152,2021,7,5,20,False
Interna,-34.53698,-58.470968,2021,2,28,17,True
Egreso,-34.588796,-58.38152,2021,1,14,5,False
Interna,-34.53698,-58.470968,2022,1,15,18,False
Egreso,-34.588796,-58.38152,2020,7,13,12,True
Ingreso,-34.588796,-58.38152,2020,11,26,6,False
Ingreso,-34.588796,-58.38152,2020,5,7,5,False
Interna,-34.53698,-58.470968000000006,2020,6,12,17,True
Interna,-34.588796,-58.38152,2020,7,5,21,False
Ingreso,-34.588796,-58.38152,2021,11,22,15,True
Ingreso,-34.633299,-58.468594,2021,5,2,23,False
Interna,-34.60855,-58.372951,2022,2,18,8,False
Interna,-34.53698,-58.470968,2021,12,25,15,False
Interna,-34.60855,-58.372951,2020,8,17,7,False
Ingreso,-34.588796,-58.38152,2020,8,2,2,False
Interna,-34.579632000000004,-58.427733,2020,4,11,10,True
Interna,-34.60855,-58.372951,2021,2,16,8,False
Ingreso,-34.633299,-58.468594,2020,12,7,0,False
Egreso,-34.579632000000004,-58.427733,2020,4,27,15,False
Egreso,-34.633299,-58.468594,2020,11,30,23,False
Interna,-34.588796,-58.38152,2020,8,5,11,True
Interna,-34.579632000000004,-58.427733,2020,4,20,0,False
Interna,-34.618036,-58.410236,2021,7,19,9,False
Egreso,-34.579632,-58.427733,2020,7,2,22,False
Egreso,-34.588796,-58.38152,2021,11,7,8,False
Interna,-34.618036,-58.410236,2021,3,8,15,True
Egreso,-34.588796,-58.38152,2021,9,25,23,False
Interna,-34.60855,-58.372951,2021,8,30,17,False
Egreso,-34.579632,-58.427733,2020,10,7,5,False
Ingreso,-34.588796,-58.38152,2021,11,13,5,False
Interna,-34.633299,-58.468594,2022,1,20,13,False
Interna,-34.588796,-58.38152,2020,9,1,19,True
Egreso,-34.588796,-58.38152,2022,2,2,17,True
Interna,-34.579632,-58.427733,2020,8,6,5,False
Egreso,-34.633299,-58.468594,2020,3,4,13,True
Ingreso,-34.588796,-58.38152,2020,9,21,13,True
Egreso,-34.633299,-58.468594,2021,12,29,1,False
Egreso,-34.633299,-58.468594,2021,10,23,13,True
Ingreso,-34.633299,-58.468594,2021,10,14,8,True
Interna,-34.60855,-58.372951,2021,11,29,22,False
Ingreso,-34.588796,-58.38152,2020,3,3,18,True
Interna,-34.53698,-58.470968,2021,11,2,10,False
Interna,-34.618036,-58.410236,2022,1,3,18,False
