"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
14	0.899830158026879	10	10	"Churn"	"Yes"	0
15	0.914037900705264	10	10	"Churn"	"Yes"	0
16	0.873776403915507	10	10	"Churn"	"Yes"	0
17	0.895154313771335	10	10	"Churn"	"Yes"	0
18	0.872230858919549	10	10	"Churn"	"Yes"	0
19	0.900966688742491	10	10	"Churn"	"Yes"	0
20	0.9119708994709	10	10	"Churn"	"Yes"	0
21	0.904803865151297	10	10	"Churn"	"Yes"	0
22	0.900782952069717	10	10	"Churn"	"Yes"	0
23	0.920912203630725	10	10	"Churn"	"Yes"	0
24	0.902355623100304	10	10	"Churn"	"Yes"	0
25	0.92620146780303	10	10	"Churn"	"Yes"	0
26	0.89919891465857	10	10	"Churn"	"Yes"	0
27	0.902196326667626	10	10	"Churn"	"Yes"	0
28	0.878164898205659	10	10	"Churn"	"Yes"	0
29	0.899431505593251	10	10	"Churn"	"Yes"	0
30	0.917391854287883	10	10	"Churn"	"Yes"	0
1	0.863463570614956	11	11	"Churn"	"Yes"	0
2	0.939370265151515	11	11	"Churn"	"Yes"	0
3	0.930344042499368	11	11	"Churn"	"Yes"	0
4	0.924831393200296	11	11	"Churn"	"Yes"	0
5	0.878869969040248	11	11	"Churn"	"Yes"	0
6	0.90254294272266	11	11	"Churn"	"Yes"	0
7	0.939158872791735	11	11	"Churn"	"Yes"	0
8	0.896177595222332	11	11	"Churn"	"Yes"	0
9	0.920644019004675	11	11	"Churn"	"Yes"	0
10	0.914555203824536	11	11	"Churn"	"Yes"	0
11	0.92921040671315	11	11	"Churn"	"Yes"	0
12	0.932961081772007	11	11	"Churn"	"Yes"	0
13	0.937216389210481	11	11	"Churn"	"Yes"	0
14	0.874552234244147	11	11	"Churn"	"Yes"	0
15	0.885635653409091	11	11	"Churn"	"Yes"	0
16	0.91374935624474	11	11	"Churn"	"Yes"	0
17	0.887132352941176	11	11	"Churn"	"Yes"	0
