"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
7	0.92203839869281	15	15	"Churn"	"Yes"	0
8	0.911812520485087	15	15	"Churn"	"Yes"	0
9	0.886367597336958	15	15	"Churn"	"Yes"	0
10	0.907619550062177	15	15	"Churn"	"Yes"	0
11	0.879849498327759	15	15	"Churn"	"Yes"	0
12	0.904953835227273	15	15	"Churn"	"Yes"	0
13	0.898240589198036	15	15	"Churn"	"Yes"	0
14	0.916745089163401	15	15	"Churn"	"Yes"	0
15	0.926005565393372	15	15	"Churn"	"Yes"	0
16	0.882576524158867	15	15	"Churn"	"Yes"	0
17	0.91963197586727	15	15	"Churn"	"Yes"	0
18	0.901651651651652	15	15	"Churn"	"Yes"	0
19	0.860014329805996	15	15	"Churn"	"Yes"	0
20	0.876827594810379	15	15	"Churn"	"Yes"	0
21	0.917992118353899	15	15	"Churn"	"Yes"	0
22	0.879558510706052	15	15	"Churn"	"Yes"	0
23	0.913084183575987	15	15	"Churn"	"Yes"	0
24	0.942739520958084	15	15	"Churn"	"Yes"	0
25	0.881507715658993	15	15	"Churn"	"Yes"	0
26	0.905607106891095	15	15	"Churn"	"Yes"	0
27	0.924711007591442	15	15	"Churn"	"Yes"	0
28	0.879620643547274	15	15	"Churn"	"Yes"	0
29	0.866423403193613	15	15	"Churn"	"Yes"	0
30	0.909444228527011	15	15	"Churn"	"Yes"	0
1	0.902871237035163	15	16	"Churn"	"Yes"	0
2	0.874232885258919	16	16	"Churn"	"Yes"	0
3	0.891762975688479	16	16	"Churn"	"Yes"	0
4	0.927224080267559	16	16	"Churn"	"Yes"	0
5	0.887947761627569	16	16	"Churn"	"Yes"	0
6	0.910244766613968	16	16	"Churn"	"Yes"	0
7	0.90338341059872	15	16	"Churn"	"Yes"	0
8	0.909102909946622	16	16	"Churn"	"Yes"	0
9	0.856091658308987	15	16	"Churn"	"Yes"	0
10	0.901549675716008	16	16	"Churn"	"Yes"	0
11	0.848015553767766	16	16	"Churn"	"Yes"	0
12	0.886695075757576	14	16	"Churn"	"Yes"	0
13	0.883980944728233	16	16	"Churn"	"Yes"	0
14	0.908326128425762	15	16	"Churn"	"Yes"	0
15	0.906211539408261	16	16	"Churn"	"Yes"	0
16	0.900227503695492	15	16	"Churn"	"Yes"	0
17	0.8934409193716	16	16	"Churn"	"Yes"	0
18	0.922504735120243	16	16	"Churn"	"Yes"	0
19	0.903267125975668	16	16	"Churn"	"Yes"	0
20	0.952772174338285	16	16	"Churn"	"Yes"	0
21	0.873100142045454	16	16	"Churn"	"Yes"	0
22	0.899125863439086	16	16	"Churn"	"Yes"	0
23	0.922993975078735	16	16	"Churn"	"Yes"	0
24	0.913138627124908	16	16	"Churn"	"Yes"	0
25	0.905882846592816	15	16	"Churn"	"Yes"	0
26	0.889071856287425	16	16	"Churn"	"Yes"	0
27	0.898347055888224	16	16	"Churn"	"Yes"	0
28	0.908592492048917	15	16	"Churn"	"Yes"	0
29	0.910058442841042	15	16	"Churn"	"Yes"	0
30	0.921081349206349	15	16	"Churn"	"Yes"	0
1	0.929856136264719	17	17	"Churn"	"Yes"	0
2	0.904935740660816	16	17	"Churn"	"Yes"	0
3	0.876945396992878	16	17	"Churn"	"Yes"	0
4	0.896150914634146	17	17	"Churn"	"Yes"	0
5	0.897022912958145	15	17	"Churn"	"Yes"	0
6	0.92377581120944	17	17	"Churn"	"Yes"	0
7	0.916604291417166	17	17	"Churn"	"Yes"	0
8	0.933203237100385	16	17	"Churn"	"Yes"	0
9	0.922929447852761	14	17	"Churn"	"Yes"	0
10	0.879142089867165	15	17	"Churn"	"Yes"	0
11	0.898974794466598	16	17	"Churn"	"Yes"	0
12	0.910784380848053	16	17	"Churn"	"Yes"	0
