"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
2	0.925215026562105	8	8	"Churn"	"Yes"	0
3	0.930969311377245	8	8	"Churn"	"Yes"	0
4	0.92151063933152	8	8	"Churn"	"Yes"	0
5	0.923787066347955	8	8	"Churn"	"Yes"	0
6	0.933308306966268	8	8	"Churn"	"Yes"	0
7	0.907199302134647	8	8	"Churn"	"Yes"	0
8	0.936104092634879	8	8	"Churn"	"Yes"	0
9	0.893773751887136	8	8	"Churn"	"Yes"	0
10	0.923565299007777	8	8	"Churn"	"Yes"	0
11	0.916081003696184	8	8	"Churn"	"Yes"	0
12	0.888365824841235	8	8	"Churn"	"Yes"	0
13	0.900578676642506	8	8	"Churn"	"Yes"	0
14	0.922824471865108	8	8	"Churn"	"Yes"	0
15	0.915116355293346	8	8	"Churn"	"Yes"	0
16	0.931175149700599	8	8	"Churn"	"Yes"	0
17	0.915877719622332	8	8	"Churn"	"Yes"	0
18	0.892111655481905	8	8	"Churn"	"Yes"	0
19	0.89609211048721	8	8	"Churn"	"Yes"	0
20	0.936938016340317	8	8	"Churn"	"Yes"	0
21	0.919471153846154	8	8	"Churn"	"Yes"	0
22	0.920295631730419	8	8	"Churn"	"Yes"	0
23	0.926758725939054	8	8	"Churn"	"Yes"	0
24	0.939789171656687	8	8	"Churn"	"Yes"	0
25	0.8934028140867	8	8	"Churn"	"Yes"	0
26	0.942165912518854	8	8	"Churn"	"Yes"	0
27	0.908683923549331	8	8	"Churn"	"Yes"	0
28	0.917947307292622	8	8	"Churn"	"Yes"	0
29	0.929359985329177	8	8	"Churn"	"Yes"	0
30	0.927891873600916	8	8	"Churn"	"Yes"	0
1	0.916616766467066	9	9	"Churn"	"Yes"	0
2	0.951094522454975	9	9	"Churn"	"Yes"	0
3	0.926106337618709	9	9	"Churn"	"Yes"	0
4	0.909225299401198	9	9	"Churn"	"Yes"	0
5	0.931161387631976	9	9	"Churn"	"Yes"	0
6	0.93191634331116	9	9	"Churn"	"Yes"	0
7	0.917634158127548	9	9	"Churn"	"Yes"	0
8	0.939866820732129	9	9	"Churn"	"Yes"	0
9	0.952796625710618	9	9	"Churn"	"Yes"	0
10	0.947079248366013	9	9	"Churn"	"Yes"	0
11	0.943569111776447	9	9	"Churn"	"Yes"	0
12	0.903263319426461	9	9	"Churn"	"Yes"	0
13	0.912793638470316	9	9	"Churn"	"Yes"	0
14	0.923651734400657	9	9	"Churn"	"Yes"	0
15	0.919985077196809	9	9	"Churn"	"Yes"	0
16	0.921204383062389	9	9	"Churn"	"Yes"	0
17	0.947563642042792	9	9	"Churn"	"Yes"	0
18	0.930989436133198	9	9	"Churn"	"Yes"	0
19	0.935131468441114	9	9	"Churn"	"Yes"	0
20	0.924449573863636	9	9	"Churn"	"Yes"	0
21	0.926229508196721	9	9	"Churn"	"Yes"	0
22	0.940139678030303	9	9	"Churn"	"Yes"	0
23	0.938484184581679	9	9	"Churn"	"Yes"	0
24	0.929336508928107	9	9	"Churn"	"Yes"	0
25	0.938740069463851	9	9	"Churn"	"Yes"	0
26	0.924655272612003	9	9	"Churn"	"Yes"	0
27	0.901219443026487	9	9	"Churn"	"Yes"	0
28	0.944614109848485	9	9	"Churn"	"Yes"	0
29	0.937240163436454	9	9	"Churn"	"Yes"	0
30	0.936683325524494	9	9	"Churn"	"Yes"	0
1	0.949405957642197	10	10	"Churn"	"Yes"	0
2	0.917328345743492	10	10	"Churn"	"Yes"	0
3	0.86977302131615	10	10	"Churn"	"Yes"	0
4	0.907810880674711	10	10	"Churn"	"Yes"	0
5	0.915348111068433	10	10	"Churn"	"Yes"	0
6	0.894165640394089	10	10	"Churn"	"Yes"	0
7	0.938526254059906	10	10	"Churn"	"Yes"	0
8	0.906829952524817	10	10	"Churn"	"Yes"	0
9	0.904750898140321	10	10	"Churn"	"Yes"	0
10	0.938607668926818	10	10	"Churn"	"Yes"	0
11	0.907909502262443	10	10	"Churn"	"Yes"	0
12	0.888751905039216	10	10	"Churn"	"Yes"	0
13	0.937334154315286	10	10	"Churn"	"Yes"	0
14	0.92430523993748	10	10	"Churn"	"Yes"	0
15	0.943368107302534	10	10	"Churn"	"Yes"	0
16	0.929128205128205	10	10	"Churn"	"Yes"	0
17	0.891729399926121	10	10	"Churn"	"Yes"	0
18	0.936139452532895	10	10	"Churn"	"Yes"	0
19	0.909835957311919	10	10	"Churn"	"Yes"	0
20	0.942905162396946	10	10	"Churn"	"Yes"	0
21	0.949083368554522	10	10	"Churn"	"Yes"	0
22	0.92827868852459	10	10	"Churn"	"Yes"	0
23	0.936272952911976	10	10	"Churn"	"Yes"	0
24	0.919540442081426	10	10	"Churn"	"Yes"	0
25	0.880232841855764	10	10	"Churn"	"Yes"	0
26	0.928787878787879	10	10	"Churn"	"Yes"	0
27	0.894080934701319	10	10	"Churn"	"Yes"	0
28	0.933099697278014	10	10	"Churn"	"Yes"	0
29	0.928779265236261	10	10	"Churn"	"Yes"	0
30	0.928165743688135	10	10	"Churn"	"Yes"	0
1	0.923825012197105	11	11	"Churn"	"Yes"	0
2	0.944693893487428	11	11	"Churn"	"Yes"	0
3	0.888701718563893	11	11	"Churn"	"Yes"	0
4	0.929170437405732	11	11	"Churn"	"Yes"	0
5	0.921617210859233	11	11	"Churn"	"Yes"	0
6	0.930374344592123	11	11	"Churn"	"Yes"	0
7	0.928732135682718	11	11	"Churn"	"Yes"	0
8	0.914427132350378	11	11	"Churn"	"Yes"	0
9	0.938537526303484	11	11	"Churn"	"Yes"	0
10	0.867781716142372	11	11	"Churn"	"Yes"	0
11	0.886679777122255	11	11	"Churn"	"Yes"	0
12	0.91488993226601	11	11	"Churn"	"Yes"	0
13	0.910956038005218	11	11	"Churn"	"Yes"	0
14	0.922975468214192	11	11	"Churn"	"Yes"	0
15	0.885292376893939	11	11	"Churn"	"Yes"	0
16	0.854816202597067	11	11	"Churn"	"Yes"	0
17	0.88420910235146	11	11	"Churn"	"Yes"	0
18	0.939842074033502	11	11	"Churn"	"Yes"	0
19	0.898042248117777	11	11	"Churn"	"Yes"	0
20	0.943073415945756	11	11	"Churn"	"Yes"	0
21	0.940996394624713	11	11	"Churn"	"Yes"	0
22	0.9200806895287	11	11	"Churn"	"Yes"	0
23	0.903599002541601	11	11	"Churn"	"Yes"	0
24	0.889966942579	11	11	"Churn"	"Yes"	0
25	0.888906786276283	11	11	"Churn"	"Yes"	0
26	0.92711242215667	11	11	"Churn"	"Yes"	0
27	0.918366819561987	11	11	"Churn"	"Yes"	0
28	0.934772559171598	11	11	"Churn"	"Yes"	0
29	0.931257918552036	11	11	"Churn"	"Yes"	0
30	0.944453047756322	11	11	"Churn"	"Yes"	0
1	0.918649366458253	12	12	"Churn"	"Yes"	0
2	0.903307043573325	12	12	"Churn"	"Yes"	0
3	0.897640659645233	12	12	"Churn"	"Yes"	0
4	0.913170925697865	12	12	"Churn"	"Yes"	0
5	0.93192528177225	12	12	"Churn"	"Yes"	0
6	0.86776132947649	12	12	"Churn"	"Yes"	0
7	0.920484797533978	12	12	"Churn"	"Yes"	0
8	0.856435823940925	12	12	"Churn"	"Yes"	0
9	0.914896998594046	12	12	"Churn"	"Yes"	0
10	0.927434632181952	12	12	"Churn"	"Yes"	0
11	0.932838103304278	12	12	"Churn"	"Yes"	0
12	0.90020624303233	12	12	"Churn"	"Yes"	0
13	0.930066287878788	12	12	"Churn"	"Yes"	0
14	0.926261352490861	12	12	"Churn"	"Yes"	0
15	0.901348791826896	12	12	"Churn"	"Yes"	0
16	0.924769240173605	12	12	"Churn"	"Yes"	0
17	0.899156441717791	12	12	"Churn"	"Yes"	0
18	0.93133695927144	12	12	"Churn"	"Yes"	0
19	0.909484870181256	12	12	"Churn"	"Yes"	0
20	0.904791179689506	12	12	"Churn"	"Yes"	0
